ID,BirthDate,BirthYear,Capture Date,Last Date Alive,Last Date Status
110,1985-06-01,1985,2003-02-27,2004-04-01,Live
111,1992-06-01,1992,2003-02-27,2004-01-07,Dead
112,1990-06-01,1990,2003-02-27,2004-04-01,Live
113,1993-06-01,1993,2003-02-27,2004-02-27,Live
114,1997-06-01,1997,2005-02-01,2006-12-09,Dead
115,1990-06-01,1990,2005-02-01,2008-04-03,Dead
116,1995-06-01,1995,2005-02-01,2006-01-13,Dead
117,,,2005-02-01,2012-07-13,Dead
118,1994-06-01,1994,2005-02-01,2008-02-29,Dead
119,1990-06-01,1990,2005-02-01,2007-12-14,Live
120,1999-06-01,1999,2005-02-01,2020-05-17,Dead
121,1993-06-01,1993,2005-02-01,2008-07-19,Dead
122,1996-06-01,1996,2005-02-01,2013-05-02,Live
123,,,2005-02-01,2015-01-21,Live
124,1998-06-01,1998,2005-02-01,2011-04-25,Dead
125,1993-06-01,1993,2005-02-01,2006-07-09,Dead
126,1995-06-01,1995,2005-02-01,2011-06-06,Dead
127,1993-06-01,1993,2005-02-01,2008-03-30,Live
128,1998-06-01,1998,2005-02-01,2008-04-03,Live
129,1989-06-01,1989,2005-02-01,2008-04-19,Dead
130,1993-06-01,1993,2005-02-01,2010-01-29,Dead
131,1993-06-01,1993,2005-02-01,2009-01-09,Dead
132,2002-06-01,2002,2006-03-02,2019-12-17,Dead
133,1998-06-01,1998,2006-03-02,2012-05-19,Dead
134,1994-06-01,1994,2006-03-02,2009-12-01,Dead
135,1998-06-01,1998,2006-03-02,2016-05-01,Dead
136,1990-06-01,1990,2006-03-02,2007-12-14,Dead
137,1992-06-01,1992,2006-03-02,2008-06-27,Live
138,2001-06-01,2001,2006-03-02,2015-06-22,Dead
139,2002-06-01,2002,2006-03-02,2018-11-10,Dead
140,1996-06-01,1996,2006-03-02,2014-10-20,Dead
141,1994-06-01,1994,2006-03-02,2009-03-27,Dead
142,1994-06-01,1994,2006-03-02,2014-06-03,Dead
143,1991-06-01,1991,2006-03-02,2009-12-01,Dead
144,1992-06-01,1992,2006-03-02,2006-06-22,Live
145,1996-06-01,1996,2006-03-02,2010-02-03,Dead
146,1986-06-01,1986,2006-03-02,2006-03-25,Dead
147,1993-06-01,1993,2006-03-02,2006-05-05,Dead
148,1996-06-01,1996,2006-03-02,2014-10-31,Dead
149,1992-06-01,1992,2006-03-02,2012-02-23,Live
150,1994-06-01,1994,2006-03-02,2007-12-14,Live
151,1993-06-01,1993,2006-03-02,2009-01-02,Dead
152,1992-06-01,1992,2006-03-02,2007-07-30,Live
153,1994-06-01,1994,2006-03-02,2011-10-11,Dead
154,1992-06-01,1992,2006-03-02,2007-12-14,Live
155,2002-06-01,2002,2006-03-02,2012-01-31,Live
156,1994-06-01,1994,2006-03-02,2009-10-08,Dead
157,1993-06-01,1993,2006-03-02,2009-12-19,Dead
158,1997-06-01,1997,2006-03-02,2015-08-19,Dead
159,1992-06-01,1992,2006-03-02,2014-05-18,Dead
160,1992-06-01,1992,2006-03-02,2008-04-03,Live
161,1994-06-01,1994,2006-03-02,2012-03-18,Dead
1101,1999-06-01,1999,2011-03-21,2015-09-01,Live
1102,1997-06-01,1997,2011-03-21,2011-08-20,Dead
1103,1993-06-01,1993,2011-03-21,2013-08-29,Dead
1104,2005-06-01,2005,2011-03-21,2015-09-01,Live
1105,1996-06-01,1996,2011-03-21,2011-03-22,Dead
1106,1996-06-01,1996,2011-03-21,2013-02-19,Dead
1107,1995-06-01,1995,2011-03-21,2015-08-01,Dead
1108,1995-06-01,1995,2011-03-21,,
1109,1992-06-01,1992,2011-03-21,2011-09-26,Dead
1110,2005-06-01,2005,2011-03-21,2019-03-18,Dead
1111,2000-06-01,2000,2011-03-21,2018-11-17,Dead
1112,1997-06-01,1997,2011-03-21,2011-08-06,Dead
1113,1999-06-01,1999,2011-03-21,2018-01-27,Dead
1114,2006-06-01,2006,2011-03-21,2019-09-19,Dead
1115,2006-06-01,2006,2011-03-21,2016-09-25,Dead
1116,1993-06-01,1993,2011-03-21,2014-07-27,Dead
1117,1998-06-01,1998,2011-03-21,2014-04-23,Dead
1118,1997-06-01,1997,2011-03-21,2013-06-07,Dead
1119,2000-06-01,2000,2011-03-21,2022-04-29,Dead
1120,2000-06-01,2000,2011-03-21,2017-05-07,Dead
1121,2000-06-01,2000,2011-03-21,2013-04-30,Dead
1122,1991-06-01,1991,2011-03-21,2013-02-16,Dead
1123,2002-06-01,2002,2011-03-21,2021-07-04,Dead
1124,2004-06-01,2004,2011-03-21,2019-02-11,Dead
1125,1994-06-01,1994,2011-03-21,2020-01-26,Dead
1126,2004-06-01,2004,2011-03-21,2022-06-15,Dead
1127,2001-06-01,2001,2011-03-21,2012-12-05,Dead
1128,2005-06-01,2005,2011-03-21,2011-06-14,Dead
1129,2002-06-01,2002,2011-03-21,2019-01-06,Dead
1130,2001-06-01,2001,2011-03-21,2014-03-19,Dead
1131,,,2011-04-06,2021-07-16,Dead
1133,2009-06-01,2009,2011-10-24,2012-03-02,Dead
1201,1999-06-01,1999,2012-02-21,2013-04-26,Dead
1202,2000-06-01,2000,2012-02-21,2015-11-28,Dead
1203,1994-06-01,1994,2012-02-21,2015-02-25,Live
1204,1995-06-01,1995,2012-02-21,2015-09-21,Live
1205,2004-06-01,2004,2012-02-21,2019-03-04,Dead
1206,1994-06-01,1994,2012-02-21,2013-08-22,Dead
1207,2000-06-01,2000,2012-02-21,2017-02-08,Dead
1208,2003-06-01,2003,2012-02-21,2019-09-14,Dead
1209,2003-06-01,2003,2012-02-21,2015-02-12,Live
1210,2000-06-01,2000,2012-02-21,2018-06-18,Dead
1211,1997-06-01,1997,2012-02-21,2013-04-20,Dead
1212,1997-06-01,1997,2012-02-21,2015-11-14,Live
1213,2003-06-01,2003,2012-02-21,2014-12-05,Dead
1214,2001-06-01,2001,2012-02-21,2015-08-24,Dead
1215,2000-06-01,2000,2012-02-21,2015-11-29,Dead
1301,2006-06-01,2006,2013-01-18,2018-05-25,Dead
1302,2006-06-01,2006,2013-01-18,2022-06-18,Dead
1303,1997-06-01,1997,2013-01-18,2014-02-20,Dead
1304,2002-06-01,2002,2013-01-18,2020-07-14,Dead
1305,2000-06-01,2000,2013-01-18,2017-03-23,Dead
1306,2002-06-01,2002,2013-01-18,2023-09-29,Live
1307,2005-06-01,2005,2013-01-18,2023-09-26,Live
1308,2005-06-01,2005,2013-01-18,2020-09-14,Dead
1309,2008-06-01,2008,2013-01-18,2019-07-08,Live
1310,2004-06-01,2004,2013-01-18,2020-03-31,Dead
1311,1998-06-01,1998,2013-01-18,2016-10-24,Dead
1312,2003-06-01,2003,2013-01-18,2017-03-29,Dead
1313,1998-06-01,1998,2013-01-18,2015-03-27,Dead
1314,2010-06-01,2010,2013-01-18,2019-04-25,Live
1315,2000-06-01,2000,2013-01-18,2016-10-02,Dead
1316,2000-06-01,2000,2013-01-18,2014-01-30,Dead
1317,2007-06-01,2007,2013-01-18,2018-10-31,Live
1318,,,2013-01-18,2017-04-10,Live
1319,2010-06-01,2010,2013-01-18,2016-02-16,Dead
1320,2006-06-01,2006,2013-01-18,2018-07-22,Live
1401,2002-06-01,2002,2013-12-11,2016-02-14,Dead
1402,2003-06-01,2003,2013-12-11,2015-08-14,Dead
1403,2010-06-01,2010,2013-12-11,2015-02-25,Live
1404,2000-06-01,2000,2013-12-11,2019-09-03,Dead
1405,2009-06-01,2009,2013-12-11,2016-08-29,Live
1406,2010-06-01,2010,2013-12-11,2016-09-27,Live
1407,2004-06-01,2004,2013-12-11,2017-12-22,Live
1408,2011-06-01,2011,2013-12-11,2017-03-22,Live
1409,2003-06-01,2003,2013-12-11,2015-08-13,Live
1410,2006-06-01,2006,2013-12-11,2017-05-16,Dead
1412,2007-06-01,2007,2013-12-11,2021-01-01,Dead
1413,2003-06-01,2003,2013-12-11,2017-08-27,Dead
1414,2003-06-01,2003,2013-12-11,2021-04-30,Dead
1415,2005-06-01,2005,2013-12-11,2016-11-24,Dead
1416,2006-06-01,2006,2013-12-11,2014-07-16,Dead
1417,2003-06-01,2003,2013-12-11,2021-03-23,Dead
1419,2002-06-01,2002,2013-12-11,2016-05-10,Dead
1420,2009-06-01,2009,2013-12-11,2019-01-16,Dead
1421,2010-06-01,2010,2013-12-11,2017-11-25,Dead
1422,2005-06-01,2005,2013-12-11,,
1501,2001-06-01,2001,2014-12-16,2018-03-17,Dead
1502,1998-06-01,1998,2014-12-16,2016-03-16,Dead
1503,1999-06-01,1999,2014-12-15,2015-03-25,Dead
1504,2004-06-01,2004,2014-12-15,2018-04-15,Live
1505,1993-06-01,1993,2014-12-16,2015-04-06,Dead
1506,2000-06-01,2000,2014-12-16,2022-01-18,Dead
1507,1992-06-01,1992,2014-12-16,2016-05-16,Dead
1508,2005-06-01,2005,2014-12-16,2017-09-25,Dead
1509,2007-06-01,2007,2014-12-15,2018-03-17,Live
1510,2001-06-01,2001,2014-12-15,2015-02-01,Dead
1511,2004-06-01,2004,2014-12-15,2018-04-14,Live
1512,2005-06-01,2005,2014-12-15,2021-03-12,Dead
1513,2009-06-01,2009,2014-12-15,2018-03-21,Live
1514,2012-06-01,2012,2014-12-15,2018-01-30,Live
1515,2003-06-01,2003,2014-12-15,2020-04-21,Dead
1516,2010-06-01,2010,2014-12-15,2019-11-17,Dead
1517,2011-06-01,2011,2014-12-15,2018-02-13,Dead
1518,2006-06-01,2006,2014-12-16,2020-05-05,Live
1519,2008-06-01,2008,2014-12-15,2018-10-31,Live
1520,2012-06-01,2012,2014-12-15,2017-06-08,Live
1601,2011-06-01,2011,2016-01-16,2019-01-28,Dead
1602,2008-06-01,2008,2016-01-16,2019-12-01,Live
1603,2009-06-01,2009,2016-01-15,2019-12-01,Live
1604,2013-06-01,2013,2016-01-15,2018-04-21,Live
1605,,,,,
1606,2010-06-01,2010,2016-01-16,2019-12-01,Live
1607,2000-06-01,2000,2016-01-16,2016-10-10,Dead
1608,2013-06-01,2013,2016-01-15,2023-05-10,Dead
1609,2009-06-01,2009,2016-01-15,,
1610,2001-06-01,2001,2016-01-16,2018-05-17,Dead
1611,1999-06-01,1999,2016-01-16,2016-07-25,Dead
1612,2001-06-01,2001,2016-01-15,2018-04-21,Dead
1613,2003-06-01,2003,2016-01-15,2018-11-17,Dead
1614,2004-06-01,2004,2016-01-15,2019-08-03,Live
1615,2010-06-01,2010,2016-01-15,2019-03-26,Live
1616,2003-06-01,2003,2016-01-16,2019-04-08,Dead
1617,2004-06-01,2004,2016-01-15,2019-05-27,Dead
1618,1998-06-01,1998,2016-01-16,2017-02-08,Dead
1619,2012-06-01,2012,2016-01-16,2019-11-06,Live
1620,2011-06-01,2011,2016-01-16,2021-02-14,Dead
1621,2013-06-01,2013,2016-01-16,2016-04-21,Live
1622,2009-06-01,2009,2016-01-15,2019-12-01,Live
1623,2006-06-01,2006,2016-01-15,2020-03-20,Live
1624,2002-06-01,2002,2016-01-16,2019-06-02,Dead
1625,2004-06-01,2004,2016-01-16,2018-07-22,Live
1626,2006-06-01,2006,2016-01-15,2019-12-01,Live
1627,2013-06-01,2013,2016-01-15,2019-12-01,Live
1628,2008-06-01,2008,2016-02-25,2019-11-25,Live
1629,2007-06-01,2007,2016-02-25,2019-11-06,Live
1630,2011-06-01,2011,2016-02-25,2016-10-11,Live
1631,2013-06-01,2013,2016-02-25,2019-09-13,Live
1632,,,2016-01-15,,
1633,2004-06-01,2004,2016-01-16,,
1701,2013-06-01,2013,2017-01-17,2020-07-30,Live
1702,2012-06-01,2012,2017-01-16,2020-10-23,Live
1703,2000-06-01,2000,2017-01-16,2018-10-11,Dead
1704,2005-06-01,2005,2017-01-16,2023-02-10,Dead
1705,2000-06-01,2000,2017-01-17,2020-10-24,Dead
1706,2003-06-01,2003,2017-01-17,2023-03-18,Dead
1707,2004-06-01,2004,2017-01-16,2022-07-05,Dead
1708,2003-06-01,2003,2017-01-17,2017-03-11,Dead
1709,1999-06-01,1999,2017-01-17,2020-05-19,Dead
1710,2001-06-01,2001,2017-01-17,2018-03-16,Dead
1801,2001-06-01,2001,2017-12-15,2019-03-11,Dead
1802,2006-06-01,2006,2017-12-15,2018-03-16,Dead
1803,2006-06-01,2006,2017-12-15,2018-04-04,Dead
1804,2003-06-01,2003,2017-12-15,2020-04-01,Dead
1805,2012-06-01,2012,2017-12-15,2024-02-19,Dead
1806,2005-06-01,2005,2017-12-15,2024-03-05,Live
1807,2007-06-01,2007,2017-12-15,2021-02-11,Dead
1808,2005-06-01,2005,2017-12-16,2020-05-21,Dead
1809,2013-06-01,2013,2017-12-16,2021-05-04,Live
1810,2010-06-01,2010,2017-12-15,2019-11-29,Dead
1901,2011-06-01,2011,2018-12-09,2021-05-20,Dead
1902,2006-06-01,2006,2018-12-09,2021-11-06,Live
1903,2009-06-01,2009,2018-12-09,2022-06-18,Dead
1904,2015-06-01,2015,2018-12-11,2024-02-17,Live
1905,2005-06-01,2005,2018-12-11,2019-12-26,Dead
1906,2014-06-01,2014,2018-12-09,2020-08-02,Dead
1908,2015-06-01,2015,2018-12-09,2024-02-18,Live
1909,2013-06-01,2013,2018-12-09,2019-09-05,Live
1910,2014-06-01,2014,2018-12-09,2024-02-19,Live
1911,2007-06-01,2007,2018-12-11,2020-02-12,Live
1912,2004-06-01,2004,2018-12-11,2021-04-06,Dead
1913,2003-06-01,2003,2018-12-11,2023-04-06,Dead
1914,2010-06-01,2010,2018-12-11,2018-12-11,Live
2000,,,2019-12-14,2019-12-17,Dead
2001,2005-06-01,2005,2019-12-15,2021-05-21,Dead
2002,2002-06-01,2002,2019-12-14,2024-02-03,Dead
2003,2013-06-01,2013,2019-12-14,2020-03-29,Dead
2004,2004-06-01,2004,2019-12-14,2020-10-26,Dead
2005,2000-06-01,2000,2019-12-15,2022-12-27,Dead
2006,2000-06-01,2000,2019-12-15,2022-04-08,Dead
2007,2018-06-01,2018,2019-12-15,2024-03-12,Live
2008,2016-06-01,2016,2019-12-15,2024-02-18,Live
2009,2014-06-01,2014,2019-12-15,2024-02-17,Live
2010,2003-06-01,2003,2019-12-15,2023-01-21,Live
2011,2010-06-01,2010,2019-12-15,2024-02-17,Live
2012,2015-06-01,2015,2019-12-14,2023-11-19,Dead
2013,2007-06-01,2007,2019-12-14,2019-12-22,Dead
2101,2011-06-01,2011,2020-12-15,2024-02-18,Live
2102,2018-06-01,2018,2020-12-15,2024-03-13,Live
2103,2004-06-01,2004,2020-12-15,2024-02-19,Live
2104,2005-06-01,2005,2020-12-15,2021-02-17,Live
2105,2010-06-01,2010,2020-12-15,2024-02-19,Live
2106,2004-06-01,2004,2020-12-15,2021-03-23,Dead
2107,2015-06-01,2015,2020-12-15,2023-10-10,Live
2108,2004-06-01,2004,2020-12-15,2021-02-05,Dead
2109,2013-06-01,2013,2020-12-15,2023-08-17,Live
2110,2004-06-01,2004,2020-12-15,2021-01-26,Dead
2111,2010-06-01,2010,2020-12-15,2023-03-17,Dead
2112,2003-06-01,2003,2020-12-16,2021-01-12,Dead
2113,2001-06-01,2001,2020-12-16,2021-05-04,Dead
2114,2013-06-01,2013,2020-12-16,2024-02-18,Live
2201,2016-06-01,2016,2021-12-11,2021-12-11,Dead
2202,2016-06-01,2016,2021-12-11,2024-02-19,Live
2203,2019-06-01,2019,2021-12-11,2021-12-26,Dead
2204,2003-06-01,2003,2021-12-11,2022-01-18,Dead
2205,2009-06-01,2009,2021-12-10,2023-11-23,Live
2206,2009-06-01,2009,2021-12-11,2023-12-04,Live
2207,2003-06-01,2003,2021-12-10,2021-12-20,Dead
2208,2014-06-01,2014,2021-12-11,2024-02-17,Live
2209,2006-06-01,2006,2021-12-10,2024-02-17,Live
2210,2007-06-01,2007,2021-12-10,2024-02-18,Live
2211,2009-06-01,2009,2021-12-10,2023-04-09,Dead
2212,2006-06-01,2006,2021-12-10,2024-02-18,Live
2213,2014-06-01,2014,2021-12-11,2023-01-13,Dead
2214,2009-06-01,2009,2021-12-11,2024-02-18,Live
2215,2013-06-01,2013,2021-12-11,2024-02-18,Live
2216,2006-06-01,2006,2021-12-11,2024-02-17,Live
2217,2013-06-01,2013,2021-12-11,2024-02-19,Live
2301,2012-06-01,2012,2023-01-07,2024-02-18,Live
2302,2014-06-01,2014,2023-01-08,2024-02-18,Live
2303,2013-06-01,2013,2023-01-07,2024-02-18,Live
2304,2017-06-01,2017,2023-01-07,2024-02-18,Live
2305,2012-06-01,2012,2023-01-08,2024-02-18,Live
2306,2017-06-01,2017,2023-01-07,2024-02-18,Live
2307,2003-06-01,2003,2023-01-07,2024-02-18,Dead
2308,2017-06-01,2017,2023-01-07,2024-02-18,Live
2309,2009-06-01,2009,2023-01-07,2024-02-18,Live
2310,2006-06-01,2006,2023-01-07,2024-02-18,Dead
2311,2015-06-01,2015,2023-01-07,2024-02-18,Live
2312,2015-06-01,2015,2023-01-07,2024-02-18,Live
2313,2013-06-01,2013,2023-01-07,2024-02-18,Dead
2314,2015-06-01,2015,2023-01-07,2024-02-18,Live
2315,2014-06-01,2014,2023-01-07,2024-02-18,Live
2316,2018-06-01,2018,2023-01-07,2024-02-18,Live
2317,2007-06-01,2007,2023-01-07,2024-02-18,Live
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
